"Realme X7 (Nebula, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",17999,4.2,1414,https://www.amazon.com/Realme-Nebula-Storage-Additional-Exchange/dp/B092QGSBZ8/ref=sr_1_11?dchild=1&qid=1629526969&refinements=p_89%3Arealme&s=electronics&sr=1-11
realme Buds Wireless in-Ear Bluetooth with mic (Yellow),1799,4.1,60928,https://www.amazon.com/realme-RMA108-Realme-Buds-Wireless/dp/B07XJWTYM2/ref=sr_1_12?dchild=1&qid=1629526969&refinements=p_89%3Arealme&s=electronics&sr=1-12
"realme narzo 30 5G (Racing Blue, 6GB RAM, 128GB Storage) - MediaTek Dimensity 700 processor I Full HD+ display with No Cost EMI/Additional Exchange Offers",15999,3.5,6,https://www.amazon.com/realme-narzo-Racing-128GB-Storage/dp/B099W89328/ref=sr_1_13?dchild=1&qid=1629526969&refinements=p_89%3Arealme&s=electronics&sr=1-13
"realme 360 Deg 1080p Full HD WiFi Smart Security Camera (White) | Alexa Enabled | 2-Way Audio | Night Vision | Motion Tracking & Intruder Alert, 7.1cm x 6.58cm x 11.43cm (RMH2001)",2850,4.1,2001,https://www.amazon.com/realme-Security-Enabled-Tracking-Intruder/dp/B08LZH4FYQ/ref=sr_1_14?dchild=1&qid=1629526969&refinements=p_89%3Arealme&s=electronics&sr=1-14
realme Buds Q2 with Active Noise Cancellation (ANC) True Wireless Earbuds (Calm Gray) | Bluetooth v5.2 | 28-Hour Battery | IPX5 Water Resistant | Bass Boost+,2499,3.9,2153,https://www.amazon.com/realme-Cancellation-Wireless-Bluetooth-Resistant/dp/B091G8TJ33/ref=sr_1_16?dchild=1&qid=1629526969&refinements=p_89%3Arealme&s=electronics&sr=1-16
"realme 20000 mAh Power Bank (Quick Charge 2.0, Power Delivery 2.0, 18 W) Yellow",1599,4.1,2580,https://www.amazon.com/realme-20000-Charge-Delivery-Yellow/dp/B08X1VH46T/ref=sr_1_17?dchild=1&qid=1629526969&refinements=p_89%3Arealme&s=electronics&sr=1-17
"realme Smart Watch 2 Pro (Metallic Silver) with 1.75"" HD Super Bright Touchscreen, Dual-Satellite GPS, 14-Day Battery, SpO2 & Heart Rate Monitoring, IP68 Water Resistance",4999,4.2,530,https://www.amazon.com/realme-Touchscreen-Dual-Satellite-Monitoring-Resistance/dp/B0999KS29Q/ref=sr_1_18?dchild=1&qid=1629526969&refinements=p_89%3Arealme&s=electronics&sr=1-18
realme Buds Wireless in-Ear Bluetooth with mic (Green),1799,4.1,60928,https://www.amazon.com/realme-Buds-Wireless-Bluetooth-Green/dp/B081BCWRGX/ref=sr_1_19?dchild=1&qid=1629526969&refinements=p_89%3Arealme&s=electronics&sr=1-19
realme Buds Wireless Pro with Active Noise Cancellation (ANC) in-Ear Bluetooth Headphones with Mic (Yellow),3499,4.1,60928,https://www.amazon.com/realme-Wireless-Cancellation-Bluetooth-Headphones/dp/B08K9QHBT2/ref=sr_1_20?dchild=1&qid=1629526969&refinements=p_89%3Arealme&s=electronics&sr=1-20
"realme 10000mAh 12W Quick Charge Li-Polymer Power Bank 2i (Yellow, Slim Design, Dual Input Ports) (Without Cable)",799,4.1,2131,https://www.amazon.com/realme-10000mAh-Charge-Li-Polymer-Yellow/dp/B08LLWJJCD/ref=sr_1_21?dchild=1&qid=1629526969&refinements=p_89%3Arealme&s=electronics&sr=1-21
"realme narzo 30 (Racing Blue, 4GB RAM, 64GB Storage) - MediaTek Helio G95 processor I Full HD+ display with No Cost EMI/Additional Exchange Offers",12999,3.9,217,https://www.amazon.com/realme-narzo-Racing-Blue-Storage/dp/B099SJ233B/ref=sr_1_22?dchild=1&qid=1629526969&refinements=p_89%3Arealme&s=electronics&sr=1-22
"realme X7 Max 5G (Android Black, 128 GB) (8 GB RAM)",24980,4.2,147,https://www.amazon.com/realme-Max-Android-Black-128/dp/B096FS4N23/ref=sr_1_23?dchild=1&qid=1629526969&refinements=p_89%3Arealme&s=electronics&sr=1-23
realme Selfie Stick with Tripod and Wireless Bluetooth 5.1 Remote- Black,1299,4.2,1836,https://www.amazon.com/realme-Selfie-Wireless-Bluetooth-Remote/dp/B08KFCYLJ9/ref=sr_1_24?dchild=1&qid=1629526969&refinements=p_89%3Arealme&s=electronics&sr=1-24
"realme C11 (2021) (Cool Blue, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",6999,4.1,1663,https://www.amazon.com/realme-Storage-Additional-Exchange-Offers/dp/B096RWS54N/ref=sr_1_1?dchild=1&qid=1629526973&refinements=p_89%3Arealme&s=electronics&sr=1-1
"realme C11 (2021) (Cool Grey, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",6999,4.1,1663,https://www.amazon.com/realme-Storage-Additional-Exchange-Offers/dp/B096RT57F9/ref=sr_1_2?dchild=1&qid=1629526973&refinements=p_89%3Arealme&s=electronics&sr=1-2
realme Buds 2 Neo in-Ear Wired Earphones with HD Mic for Android Smartphones (Black),499,4.3,14448,https://www.amazon.com/realme-Wired-Earphones-Android-Smartphones/dp/B097KM3Z16/ref=sr_1_3?dchild=1&qid=1629526973&refinements=p_89%3Arealme&s=electronics&sr=1-3
"realme Buds Wireless 2 Neo (Black) Earphones with Type-C Fast Charge, Bass Boost+ & Magnetic Instant Connection",1499,4.1,570,https://www.amazon.com/realme-Wireless-Earphones-Magnetic-Connection/dp/B0999NNBPV/ref=sr_1_4?dchild=1&qid=1629526973&refinements=p_89%3Arealme&s=electronics&sr=1-4
realme Buds 2 Neo in-Ear Wired Earphones with HD Mic for Android Smartphones (Blue),499,4.3,14448,https://www.amazon.com/realme-Wired-Earphones-Android-Smartphones/dp/B097KMXXTZ/ref=sr_1_5?dchild=1&qid=1629526973&refinements=p_89%3Arealme&s=electronics&sr=1-5
"realme narzo 30 (Racing Blue, 6GB RAM, 128GB Storage) - MediaTek Helio G95 processor I Full HD+ display with No Cost EMI/Additional Exchange Offers",14999,3.9,217,https://www.amazon.com/realme-narzo-Racing-128GB-Storage/dp/B099SJHHQL/ref=sr_1_6?dchild=1&qid=1629526973&refinements=p_89%3Arealme&s=electronics&sr=1-6
